Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Letter,Zone
1700075686.378032,0,69286,0,GPS1_frame,42.33721923828125,-71.08966827392578,11.800000190734863,1.0,327852.03125,4689333.0,19:14:46,T,19
1700075689.3845072,0,69289,0,GPS1_frame,42.337162017822266,-71.08979034423828,11.899999618530273,1.0,327841.4375,4689327.0,19:14:49,T,19
1700075690.3764555,0,69290,0,GPS1_frame,42.33712387084961,-71.0898208618164,11.699999809265137,1.0,327839.0,4689323.0,19:14:50,T,19
1700075691.36845,0,69291,0,GPS1_frame,42.33708190917969,-71.08983612060547,11.699999809265137,1.0,327837.53125,4689318.5,19:14:51,T,19
1700075694.3772357,0,69294,0,GPS1_frame,42.33698272705078,-71.08978271484375,11.600000381469727,1.0,327841.625,4689307.0,19:14:54,T,19
1700075695.3727694,0,69295,0,GPS1_frame,42.33696365356445,-71.08973693847656,11.600000381469727,1.0,327845.28125,4689305.0,19:14:55,T,19
1700075696.3610227,0,69296,0,GPS1_frame,42.33695983886719,-71.08968353271484,11.5,1.0,327849.6875,4689304.0,19:14:56,T,19
1700075699.3724787,0,69299,0,GPS1_frame,42.3370246887207,-71.08954620361328,12.0,1.0,327861.125,4689311.5,19:14:59,T,19
1700075700.3963058,0,69300,0,GPS1_frame,42.337066650390625,-71.08953094482422,12.0,1.0,327862.875,4689316.0,19:15:00,T,19
1700075701.3841279,0,69301,0,GPS1_frame,42.33710861206055,-71.08953094482422,12.0,1.0,327863.0,4689320.5,19:15:01,T,19
1700075704.364008,0,69304,0,GPS1_frame,42.337196350097656,-71.08963775634766,11.800000190734863,1.0,327854.3125,4689330.5,19:15:04,T,19
1700075705.3841484,0,69305,0,GPS1_frame,42.337196350097656,-71.08969116210938,11.800000190734863,1.0,327849.78125,4689330.5,19:15:05,T,19
1700075706.377003,0,69306,0,GPS1_frame,42.33718490600586,-71.0897445678711,11.800000190734863,1.0,327845.625,4689329.5,19:15:06,T,19
1700075709.3886502,0,69309,0,GPS1_frame,42.337074279785156,-71.08982849121094,11.699999809265137,1.0,327838.3125,4689317.5,19:15:09,T,19
1700075710.3799856,0,69310,0,GPS1_frame,42.3370361328125,-71.0898208618164,11.600000381469727,1.0,327838.625,4689313.0,19:15:10,T,19
1700075711.4037137,0,69311,0,GPS1_frame,42.33700180053711,-71.08979797363281,11.600000381469727,1.0,327840.46875,4689309.5,19:15:11,T,19
1700075714.379988,0,69314,0,GPS1_frame,42.33696365356445,-71.08966827392578,11.800000190734863,1.0,327850.78125,4689305.0,19:15:14,T,19
1700075715.3681686,0,69315,0,GPS1_frame,42.33697509765625,-71.0896224975586,12.100000381469727,1.0,327854.8125,4689306.0,19:15:15,T,19
1700075716.3925881,0,69316,0,GPS1_frame,42.33700180053711,-71.0895767211914,12.300000190734863,1.0,327858.4375,4689309.0,19:15:16,T,19
