Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,IMU.header.seq,IMU.header.stamp.secs,IMU.header.stamp.nsecs,IMU.header.frame_id,IMU.orientation.x,IMU.orientation.y,IMU.orientation.z,IMU.orientation.w,IMU.orientation_covariance,IMU.angular_velocity.x,IMU.angular_velocity.y,IMU.angular_velocity.z,IMU.angular_velocity_covariance,IMU.linear_acceleration.x,IMU.linear_acceleration.y,IMU.linear_acceleration.z,IMU.linear_acceleration_covariance,MagField.header.seq,MagField.header.stamp.secs,MagField.header.stamp.nsecs,MagField.header.frame_id,MagField.magnetic_field.x,MagField.magnetic_field.y,MagField.magnetic_field.z,MagField.magnetic_field_covariance,raw
1700075610.6148038,0,1700075610,596217632,IMU1_Frame,0,1700075610,596217632,IMU1_Frame,-0.0313611695496697,-0.0020332943748936783,0.9986962221645657,0.040226839208248356,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000566,3.6e-05,-0.000381,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.609,0.024,-9.614,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,596217632,IMU1_Frame,-2.387e-05,-1.59e-06,3.108e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.375,+003.582,-000.378,-00.2387,-00.0159,+00.3108,+00.609,+00.024,-09.614,+00.000566,+00.000036,-00.000381*6A
"
1700075610.662683,0,1700075610,621032714,IMU1_Frame,0,1700075610,621032714,IMU1_Frame,-0.031360098885865086,-0.0020074222368099554,0.9986966260683734,0.040218944957316344,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000274,-0.00061,0.0001,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.62,0.04,-9.634,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,621032714,IMU1_Frame,-2.3860000000000002e-05,-1.13e-06,3.129e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.376,+003.582,-000.375,-00.2386,-00.0113,+00.3129,+00.620,+00.040,-09.634,-00.000274,-00.000610,+00.000100*68
"
1700075610.6627142,0,1700075610,646049499,IMU1_Frame,0,1700075610,646049499,IMU1_Frame,-0.031368112127736554,-0.0019896389366806,0.9986963895426976,0.04021945291552021,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.00076,-0.000411,-0.000564,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.581,0.037,-9.678,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,646049499,IMU1_Frame,-2.393e-05,-1.79e-06,3.1440000000000004e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.376,+003.583,-000.373,-00.2393,-00.0179,+00.3144,+00.581,+00.037,-09.678,-00.000760,-00.000411,-00.000564*6F
"
1700075610.710571,0,1700075610,671381235,IMU1_Frame,0,1700075610,671381235,IMU1_Frame,-0.03135902865450898,-0.001981550078820407,0.9986970292259593,0.04021105067483861,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.001608,-9.3e-05,5.4e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.592,0.045,-9.64,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,671381235,IMU1_Frame,-2.399e-05,-1.65e-06,3.129e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.377,+003.582,-000.372,-00.2399,-00.0165,+00.3129,+00.592,+00.045,-09.640,-00.001608,-00.000093,+00.000054*6E
"
1700075610.710603,0,1700075610,695950269,IMU1_Frame,0,1700075610,695950269,IMU1_Frame,-0.03134228260126671,-0.001999959506110366,0.9986978879405276,0.04020186695224085,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000863,0.001294,0.001145,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.588,0.072,-9.67,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,695950269,IMU1_Frame,-2.393e-05,-1.72e-06,3.129e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.378,+003.580,-000.374,-00.2393,-00.0172,+00.3129,+00.588,+00.072,-09.670,-00.000863,+00.001294,+00.001145*65
"
1700075610.7545762,0,1700075610,720957517,IMU1_Frame,0,1700075610,720957517,IMU1_Frame,-0.0313262554671703,-0.0020355258669632723,0.9986983597779326,0.04020085235063605,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000826,0.00041,-0.000215,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.586,0.089,-9.662,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,720957517,IMU1_Frame,-2.4e-05,-2.0500000000000003e-06,3.1440000000000004e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.378,+003.578,-000.378,-00.2400,-00.0205,+00.3144,+00.586,+00.089,-09.662,-00.000826,+00.000410,-00.000215*69
"
1700075610.7546203,0,1700075610,746166944,IMU1_Frame,0,1700075610,746166944,IMU1_Frame,-0.031310246363406596,-0.0020708190291965243,0.9986984791971972,0.04020855419455472,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000176,-0.001321,0.000112,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.593,0.111,-9.665,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,746166944,IMU1_Frame,-2.387e-05,-1.66e-06,3.13e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.377,+003.576,-000.382,-00.2387,-00.0166,+00.3130,+00.593,+00.111,-09.665,-00.000176,-00.001321,+00.000112*6F
"
1700075610.7986257,0,1700075610,772051095,IMU1_Frame,0,1700075610,772051095,IMU1_Frame,-0.03130221468698762,-0.002088875473366942,0.9986990645896541,0.04019933261506225,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000488,0.001956,0.00035,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.584,0.079,-9.676,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,772051095,IMU1_Frame,-2.393e-05,-1.79e-06,3.137e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.378,+003.575,-000.384,-00.2393,-00.0179,+00.3137,+00.584,+00.079,-09.676,+00.000488,+00.001956,+00.000350*68
"
1700075610.8026106,0,1700075610,795956850,IMU1_Frame,0,1700075610,795956850,IMU1_Frame,-0.031285467461451,-0.002107284342824668,0.998699920190868,0.040190151644037574,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000351,-0.000238,0.00035,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.601,0.071,-9.659,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,795956850,IMU1_Frame,-2.405e-05,-1.45e-06,3.136e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.379,+003.573,-000.386,-00.2405,-00.0145,+00.3136,+00.601,+00.071,-09.659,+00.000351,-00.000238,+00.000350*67
"
1700075610.846675,0,1700075610,820976018,IMU1_Frame,0,1700075610,820976018,IMU1_Frame,-0.031267686275489634,-0.0020992741499227586,0.9987004796928162,0.040190505151838016,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000114,0.000211,0.000633,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.571,0.049,-9.662,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,820976018,IMU1_Frame,-2.387e-05,-1.66e-06,3.137e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.379,+003.571,-000.385,-00.2387,-00.0166,+00.3137,+00.571,+00.049,-09.662,-00.000114,+00.000211,+00.000633*64
"
