Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Letter,Zone
1700076040.3922749,0,69640,0,GPS1_frame,42.34101104736328,-71.0858383178711,13.699999809265137,1.0,328177.34375,4689746.5,19:20:40,T,19
1700076041.3884416,0,69641,0,GPS1_frame,42.34098815917969,-71.08580780029297,13.699999809265137,1.0,328180.03125,4689744.0,19:20:41,T,19
1700076043.3998702,0,69643,0,GPS1_frame,42.34096145629883,-71.08576202392578,13.5,1.0,328183.65625,4689740.5,19:20:43,T,19
1700076044.3924813,0,69644,0,GPS1_frame,42.34095001220703,-71.08574676513672,13.5,1.0,328185.0,4689739.5,19:20:44,T,19
1700076045.3840208,0,69645,0,GPS1_frame,42.3409423828125,-71.08573150634766,13.300000190734863,1.0,328185.9375,4689738.5,19:20:45,T,19
1700076046.3760614,0,69646,0,GPS1_frame,42.34093475341797,-71.08572387695312,13.199999809265137,1.0,328186.75,4689738.0,19:20:46,T,19
1700076049.3840423,0,69649,0,GPS1_frame,42.34091567993164,-71.08568572998047,12.800000190734863,1.0,328190.0,4689735.5,19:20:49,T,19
1700076050.3762367,0,69650,0,GPS1_frame,42.34090805053711,-71.08565521240234,12.699999809265137,1.0,328192.3125,4689734.5,19:20:50,T,19
1700076051.372351,0,69651,0,GPS1_frame,42.340904235839844,-71.08561706542969,12.399999618530273,1.0,328195.59375,4689734.0,19:20:51,T,19
1700076054.3771765,0,69654,0,GPS1_frame,42.340980529785156,-71.08547973632812,12.0,1.0,328207.0625,4689742.5,19:20:54,T,19
1700076055.368189,0,69655,0,GPS1_frame,42.341026306152344,-71.0854263305664,12.0,1.0,328211.71875,4689747.0,19:20:55,T,19
1700076056.3923507,0,69656,0,GPS1_frame,42.34107208251953,-71.08536529541016,12.100000381469727,1.2999999523162842,328216.78125,4689752.5,19:20:56,T,19
1700076059.3690798,0,69659,0,GPS1_frame,42.34124755859375,-71.08516693115234,13.0,1.0,328233.59375,4689771.5,19:20:59,T,19
1700076060.3920538,0,69660,0,GPS1_frame,42.341304779052734,-71.08509063720703,13.100000381469727,1.0,328239.78125,4689777.5,19:21:00,T,19
1700076061.3839984,0,69661,0,GPS1_frame,42.34136199951172,-71.08502197265625,13.399999618530273,1.0,328245.71875,4689784.0,19:21:01,T,19
1700076064.39289,0,69664,0,GPS1_frame,42.34153366088867,-71.0848159790039,14.0,1.0,328263.46875,4689802.5,19:21:04,T,19
1700076065.4204814,0,69665,0,GPS1_frame,42.34159469604492,-71.08473205566406,14.5,1.0,328270.375,4689809.0,19:21:05,T,19
1700076066.4124835,0,69666,0,GPS1_frame,42.34165954589844,-71.08464813232422,15.0,1.0,328277.125,4689816.0,19:21:06,T,19
1700076069.4167078,0,69669,0,GPS1_frame,42.34184265136719,-71.08443450927734,15.699999809265137,1.0,328295.625,4689836.0,19:21:09,T,19
1700076070.4085488,0,69670,0,GPS1_frame,42.341896057128906,-71.0843734741211,15.800000190734863,1.0,328300.71875,4689842.0,19:21:10,T,19
1700076071.4001515,0,69671,0,GPS1_frame,42.341949462890625,-71.08432006835938,16.0,1.0,328305.125,4689847.5,19:21:11,T,19
1700076073.4159114,0,69673,0,GPS1_frame,42.34202194213867,-71.08423614501953,15.800000190734863,1.0,328312.46875,4689855.5,19:21:13,T,19
1700076074.3757954,0,69674,0,GPS1_frame,42.342044830322266,-71.0842056274414,15.699999809265137,1.0,328315.0,4689858.0,19:21:14,T,19
1700076075.368142,0,69675,0,GPS1_frame,42.342063903808594,-71.08417510986328,15.899999618530273,1.0,328317.375,4689860.0,19:21:15,T,19
1700076076.3925197,0,69676,0,GPS1_frame,42.34208297729492,-71.08415222167969,15.800000190734863,1.0,328319.34375,4689862.0,19:21:16,T,19
